Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value
"QC","Crops","83","Kiribati","5510","Production","486","Bananas","2018","2018","tonnes","8339"
"QC","Crops","83","Kiribati","5510","Production","249","Coconuts","2018","2018","tonnes","174135"
"QC","Crops","83","Kiribati","5510","Production","603","Fruit, tropical fresh nes","2018","2018","tonnes","1677"
"QC","Crops","83","Kiribati","5510","Production","234","Nuts nes","2018","2018","tonnes","285"
"QC","Crops","83","Kiribati","5510","Production","149","Roots and tubers nes","2018","2018","tonnes","9896"
"QC","Crops","83","Kiribati","5510","Production","136","Taro (cocoyam)","2018","2018","tonnes","1925"
"QC","Crops","83","Kiribati","5510","Production","463","Vegetables, fresh nes","2018","2018","tonnes","5767"
"QC","Crops","132","Maldives","5510","Production","226","Areca nuts","2018","2018","tonnes","3"
"QC","Crops","132","Maldives","5510","Production","486","Bananas","2018","2018","tonnes","334"
"QC","Crops","132","Maldives","5510","Production","125","Cassava","2018","2018","tonnes","4"
"QC","Crops","132","Maldives","5510","Production","689","Chillies and peppers, dry","2018","2018","tonnes","10"
"QC","Crops","132","Maldives","5510","Production","401","Chillies and peppers, green","2018","2018","tonnes","63"
"QC","Crops","132","Maldives","5510","Production","249","Coconuts","2018","2018","tonnes","225"
"QC","Crops","132","Maldives","5510","Production","619","Fruit, fresh nes","2018","2018","tonnes","2057"
"QC","Crops","132","Maldives","5510","Production","497","Lemons and limes","2018","2018","tonnes","40"
"QC","Crops","132","Maldives","5510","Production","56","Maize","2018","2018","tonnes","147"
"QC","Crops","132","Maldives","5510","Production","571","Mangoes, mangosteens, guavas","2018","2018","tonnes","128"
"QC","Crops","132","Maldives","5510","Production","79","Millet","2018","2018","tonnes","4"
"QC","Crops","132","Maldives","5510","Production","234","Nuts nes","2018","2018","tonnes","2171"
"QC","Crops","132","Maldives","5510","Production","403","Onions, dry","2018","2018","tonnes","32"
"QC","Crops","132","Maldives","5510","Production","600","Papayas","2018","2018","tonnes","1833"
"QC","Crops","132","Maldives","5510","Production","211","Pulses nes","2018","2018","tonnes","104"
"QC","Crops","132","Maldives","5510","Production","149","Roots and tubers nes","2018","2018","tonnes","2170"
"QC","Crops","132","Maldives","5510","Production","83","Sorghum","2018","2018","tonnes","53"
"QC","Crops","132","Maldives","5510","Production","122","Sweet potatoes","2018","2018","tonnes","4"
"QC","Crops","132","Maldives","5510","Production","136","Taro (cocoyam)","2018","2018","tonnes","9"
"QC","Crops","132","Maldives","5510","Production","388","Tomatoes","2018","2018","tonnes","168"
"QC","Crops","132","Maldives","5510","Production","463","Vegetables, fresh nes","2018","2018","tonnes","2298"
"QC","Crops","127","Marshall Islands","5510","Production","249","Coconuts","2018","2018","tonnes","24342"
"QC","Crops","227","Tuvalu","5510","Production","486","Bananas","2018","2018","tonnes","292"
"QC","Crops","227","Tuvalu","5510","Production","249","Coconuts","2018","2018","tonnes","1629"
"QC","Crops","227","Tuvalu","5510","Production","603","Fruit, tropical fresh nes","2018","2018","tonnes","609"
"QC","Crops","227","Tuvalu","5510","Production","149","Roots and tubers nes","2018","2018","tonnes","143"
"QC","Crops","227","Tuvalu","5510","Production","463","Vegetables, fresh nes","2018","2018","tonnes","630"
