Country,Latitude,Christian,Muslim,GDP(2015-2024),Employment Rate,Pop Density,Population,Vulnerability score to climate change(ND-Gain index) in 2017,Refugee Population,Number of CH sights,normGDP,normEmp,normPopDens,normPop,normRef,normCH
Australia,-25.27,67.0,2.4,545163.9,5.3,3.0,25000000.0,0.2947207511,56933.0,20.0,0.46837422162741854,0.3561643835616438,0.0,0.015993878574940307,0.05351398808460719,0.35185185185185186
China,35.86,5.1,1.8,,4.4,148.0,1392000000.0,0.38859769159999996,321756.0,55.0,,0.29452054794520544,0.018238993710691823,0.9999999999999999,0.30244662231137565,0.9999999999999999
Taiwan,23.69,5.5,0.0,,,,,,,,,,,,,
Germany,51.16,69.0,5.8,548869.7,3.2,237.0,82000000.0,0.29201323949999997,1063837.0,46.0,0.47229044335375175,0.21232876712328766,0.02943396226415094,0.057024126505612144,1.0,0.8333333333333334
Hong Kong,22.31,14.0,2.0,,2.8,7096.0,7450000.0,,141.0,,,0.18493150684931506,0.8922012578616352,0.0033608811857597683,0.0001297194863108342,
Japan,36.2,1.6,0.2,462456.4,3.7,347.0,126000000.0,0.3715417306,1895.0,23.0,0.38097044688762993,0.24657534246575344,0.04327044025157232,0.08869659859244655,0.0017784729572470894,0.40740740740740744
South Korea,35.9,29.4,0.2,,2.4,530.0,51000000.0,,2903.0,14.0,,0.15753424657534246,0.06628930817610063,0.03470943026261518,0.002725989205082748,0.24074074074074073
Netherlands,52.13,50.6,6.0,593066.9,3.7,511.0,17000000.0,0.35141926,101837.0,10.0,0.5189972367271385,0.24657534246575344,0.06389937106918238,0.010235247286424963,0.0957235809346195,0.16666666666666666
New Zealand,-40.9,57.0,1.2,417001.2,3.7,19.0,4885000.0,0.3313573246,1564.0,3.0,0.33293422210085677,0.24657534246575344,0.002012578616352201,0.001514520028879536,0.0014673341893566103,0.037037037037037035
Poland,51.91,94.3,0.0,346151.1,3.3,124.0,37000000.0,0.3235556552,12506.0,16.0,0.25806113101853045,0.2191780821917808,0.015220125786163522,0.024631825507713326,0.011752773459017101,0.2777777777777778
Qatar,25.35,13.8,67.7,,0.1,240.0,2781000.0,0.3748879674,190.0,1.0,,0.0,0.029811320754716982,0.0,0.00017577930391395649,0.0
Russia,61.52,73.3,10.0,306360.0,4.5,9.0,144000000.0,0.334638712,77397.0,29.0,0.21601062361535178,0.3013698630136986,0.0007547169811320753,0.10165351899160607,0.07275007190971523,0.5185185185185185
Singapore,1.35,18.2,14.2,1048225.0,3.6,7953.0,5638000.0,0.4152549709,3.0,1.0,1.0,0.23972602739726026,0.9999999999999999,0.0020565511989110432,0.0,0.0
Spain,40.46,78.6,2.1,421150.4,14.7,94.0,46000000.0,0.30770575710000003,20457.0,48.0,0.33731902084523097,0.9999999999999998,0.011446540880503144,0.031110285707293087,0.019226683862331905,0.8703703703703703
Sweden,60.12,67.2,4.6,557700.4,6.8,25.0,10000000.0,0.30116507600000003,248266.0,15.0,0.48162256575612955,0.45890410958904104,0.0027672955974842764,0.005196444908974035,0.23336629586946836,0.2592592592592593
Ukraine,48.37,83.8,1.2,101955.8,9.3,77.0,44000000.0,0.36689392439999996,2620.0,7.0,0.0,0.6301369863013698,0.009308176100628932,0.029670627885164252,0.0024599702585177763,0.1111111111111111
United States,37.09,78.3,0.9,661705.1,3.9,36.0,327000000.0,0.33869421520000004,313241.0,24.0,0.591532832306071,0.26027397260273966,0.004150943396226414,0.2333822097163946,0.29444255400748615,0.42592592592592593
